Unnamed: 0,title,channelId,thumbnailUrl,videoId,type_video,viewCount,subscriberCount,videoCount,keywords,views/subscriber
44,Google Pixel 7/Pro Review: Hard Problems? Software Answers!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/NE5H5intsck/mqdefault.jpg,NE5H5intsck,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
45,5 Weird iPad Pro (M4) Decisions,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/PHcDrXeyguM/mqdefault.jpg,PHcDrXeyguM,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
46,2015 Macbook Review!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/TA8JprZlDYA/mqdefault.jpg,TA8JprZlDYA,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
47,Google Pixel 4a Review: Simple and Clean!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/dlHnleQU9tQ/mqdefault.jpg,dlHnleQU9tQ,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
48,iPhone SE (2020) Review: It All Adds Up!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/aXfiyuUziY0/mqdefault.jpg,aXfiyuUziY0,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
49,The Rivian R1S Is... The Best SUV Ever?,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/wR-0knMVSGw/mqdefault.jpg,wR-0knMVSGw,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
50,Why I bought the iPad 10 (and NOT the M2 iPad Pro),UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/48WukP7dR9U/mqdefault.jpg,48WukP7dR9U,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
51,I REFUSE to review the M2 iPad Pro!! (hear me out…),UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/9UMXWGk_jRE/mqdefault.jpg,9UMXWGk_jRE,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
52,NEW M2 iPad Pro in 3...2...1!!!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/hTFosa7CfeU/mqdefault.jpg,hTFosa7CfeU,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
53,M2 iPad Pro - should you WAIT or buy the M1 iPad Pro NOW!?,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/wMpSIANRyUM/mqdefault.jpg,wMpSIANRyUM,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
