title,channelId,thumbnailUrl,videoId
iPad Mini 6 - 5 Reasons YOU should buy it!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/w1dBQWOxYUU/mqdefault.jpg,w1dBQWOxYUU
How to apply the Paperlike 2 screen protector  -  Instructions / review,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/BmYJXIzX3Mg/mqdefault.jpg,BmYJXIzX3Mg
ULTIMATE storage solution - Why you need a NAS drive!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/2cktF9wqHpc/mqdefault.jpg,2cktF9wqHpc
The iPad is Finally PRO Again! - iPadOS 16 New Features Hands On!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/BE0WZivC1zg/mqdefault.jpg,BE0WZivC1zg
Will the iPad FINALLY go PRO?!! - WWDC 2022 Last minute rumors!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/THYenojUYPc/mqdefault.jpg,THYenojUYPc
New Macbook Pro? Get these apps first!! (Best apps for Mac 2020),UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/uddEPBgfXAE/mqdefault.jpg,uddEPBgfXAE
BEST backup and storage for Mac 2022!!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/-FiZ5I79Ctg/mqdefault.jpg,-FiZ5I79Ctg
"Apple Watch SE Review (Tips, Tricks &amp; Apps)",UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/Er969XgwL84/mqdefault.jpg,Er969XgwL84
iPad Air 5 - BEAUTIFUL lightweight!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/efGNNzLpH-Q/mqdefault.jpg,efGNNzLpH-Q
iPad Mini 6 - WOW!!! (first impressions),UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/PlWhJ8_7fak/mqdefault.jpg,PlWhJ8_7fak
iPad Pro 2021 - Update!!!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/dq8FZoxOTEg/mqdefault.jpg,dq8FZoxOTEg
Best Must Have Apps for iPad (Pro) 2020 - July Edition!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/hJo45AorNWc/mqdefault.jpg,hJo45AorNWc
M1 iPad Pro 2021 vs iPad Pro 2020 - ULTIMATE speed test,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/3deOmXehOZM/mqdefault.jpg,3deOmXehOZM
I BROKE my MAGSAFE charger!!! |How strong is the magnet on the iPhone 12 Magsafe Charger?,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/jMos0z1aQ4I/mqdefault.jpg,jMos0z1aQ4I
No M2 Macbook Pro in 2022!!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/MsVPWe3g8Zg/mqdefault.jpg,MsVPWe3g8Zg
A YouTuber&#39;s iOS 14 homescreen setup,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/87arVLSdchM/mqdefault.jpg,87arVLSdchM
15 Pro Max vs Z Fold 5 - BATTLE of the heavyweights! 🥊,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/W0XlK16FNWU/mqdefault.jpg,W0XlK16FNWU
iPhone Magsafe Ecosystem!!  - ESR Halolock,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/F3FuG1ve__0/mqdefault.jpg,F3FuG1ve__0
"iPad Pro 2021   Delayed, but even better?!",UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/ndwqrpnxClA/mqdefault.jpg,ndwqrpnxClA
iPhone 12 Pro Max - Many Months Later...,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/LxAotBm1dD4/mqdefault.jpg,LxAotBm1dD4
AirPods 2 vs Galaxy Buds 2019 - ULTIMATE Wireless Earbuds Comparison,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/utFV_VaZulE/mqdefault.jpg,utFV_VaZulE
iPhone 7 Plus - 10 Months Later!,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/f0_nnBYN06U/mqdefault.jpg,f0_nnBYN06U
iPad Pro Review - After One Week!,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/v4bC8wTIVW4/mqdefault.jpg,v4bC8wTIVW4
OnePlus 7 Pro - My Perfect Minimal Android Setup 2019!,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/S2MNeJ-jy0c/mqdefault.jpg,S2MNeJ-jy0c
Apple&#39;s Biggest iPhone FAIL (Wasn&#39;t That Bad) - iPhone 5C 2018,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/vwWXwPJBnJA/mqdefault.jpg,vwWXwPJBnJA
ROUND APPLE WATCH!? (Aiwatch C5 Review),UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/S2QssMYFZno/mqdefault.jpg,S2QssMYFZno
BEST Starter &amp; Budget Drone - DJI Phantom 3 Standard,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/7JMXgDJq5CY/mqdefault.jpg,7JMXgDJq5CY
iPhone 11 Review - Insamely Great.,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/W9V6MLhBn28/mqdefault.jpg,W9V6MLhBn28
The Galaxy Note 20 UItra DeX PC Setup!,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/YDs6rQ_URlI/mqdefault.jpg,YDs6rQ_URlI
Galaxy Note 9 Review 2019 - Better than Galaxy S10 Plus?,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/RnbekTHzCxs/mqdefault.jpg,RnbekTHzCxs
Top 5 Best iPhone 6s/6s Plus &amp; iPhone 6/6 Plus Accessories,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/zoGTTQMmBwg/mqdefault.jpg,zoGTTQMmBwg
Every iPhone Design - 10 Years of iPhone,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/WJg2Z-r4paM/mqdefault.jpg,WJg2Z-r4paM
My Everyday Carry - Minimal EDC Tech 2019,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/KlPCPllI4PU/mqdefault.jpg,KlPCPllI4PU
iPad Pro Apps - The Best Of The Best For iPadOS,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/fTqRjgqKeoM/mqdefault.jpg,fTqRjgqKeoM
Budget $200 Laptop For College Students! (2017),UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/IglrYoOrp4E/mqdefault.jpg,IglrYoOrp4E
Can Smartphones Replace Computers? (Short Film),UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/rxo5WDMeyHg/mqdefault.jpg,rxo5WDMeyHg
LG G6 Review - A Galaxy S8 KILLER?!,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/WFWAZmB38qE/mqdefault.jpg,WFWAZmB38qE
iPhone 6s Review - Rose Gold (Shot on iPhone 6s Plus In 4K),UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/-sDYy8j0mnA/mqdefault.jpg,-sDYy8j0mnA
How Long Does The Apple Watch Battery Last? Real World Apple Watch Battery Life Test,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/deF1R8l-42c/mqdefault.jpg,deF1R8l-42c
Moto G4 Plus Review! (Moto G Plus),UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/m_kezesFOVI/mqdefault.jpg,m_kezesFOVI
iPhone 12 Pro Max Review - More Is More?,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/rCNsg0c0hWo/mqdefault.jpg,rCNsg0c0hWo
iPad Air 2020 Review - The iPad Kinda Pro,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/bM5e5Wmr5mo/mqdefault.jpg,bM5e5Wmr5mo
OnePlus 6 - Making My PERFECT Android Phone!,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/yo2vZCnypeE/mqdefault.jpg,yo2vZCnypeE
Casetify Custom Case: Unboxing &amp; Review,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/bnWy-O6bZIk/mqdefault.jpg,bnWy-O6bZIk
iPad Pro vs MacBook Air - Surprising Results...,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/dmzls4D-Uhc/mqdefault.jpg,dmzls4D-Uhc
The Perfect 2022 iPad Pro,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/mqH6YLwcG00/mqdefault.jpg,mqH6YLwcG00
BlackBerry KEY2 - The Keyboard King Is BACK! - Hands On Review,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/MO0nJ5fZv3o/mqdefault.jpg,MO0nJ5fZv3o
First iPhone: 10 Years Later! (Original iPhone/iPhone 2G),UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/386sZZbzEc4/mqdefault.jpg,386sZZbzEc4
iPad Pro Magic Keyboard 2020 - Two Months of Magic!,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/juoKOiz-qzs/mqdefault.jpg,juoKOiz-qzs
Jabra Elite Sport - BEST Fully Wireless Earbuds Yet!,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/c1rGJEksrDc/mqdefault.jpg,c1rGJEksrDc
iPad Air 2019 10.5&quot; Review - The iPad Pro On A Budget,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/VsQKgJeJN3U/mqdefault.jpg,VsQKgJeJN3U
Galaxy S20 FE Review - It&#39;s Worth it.,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/OldtEujkUnY/mqdefault.jpg,OldtEujkUnY
